Name,Canton,Population
Unterengstringen,Zurich,3804
Grindelwald,Bern,3801
Bevaix,Neuchatel,3784
Langendorf,Solothurn,3781
Founex,Vaud,3774
Jonschwil,Sankt Gallen,3773
Steckborn,Thurgau,3753
Reichenburg,Schwyz,3751
Erlen,Thurgau,3749
La Neuveville,Bern,3738
Hedingen,Zurich,3734
Schupfen,Bern,3732
Belmont-sur-Lausanne,Vaud,3721
Monchaltorf,Zurich,3715
Schmerikon,Sankt Gallen,3709
Widen,Aargau,3698
Port,Bern,3695
Stallikon,Zurich,3687
Egerkingen,Solothurn,3683
Beckenried,Nidwalden,3672
Walchwil,Zug,3663
Elsau,Zurich,3660
Giswil,Obwalden,3657
Ruti,Appenzell Innerrhoden,3648
Hausen am Albis,Zurich,3646
Feuerthalen,Zurich,3636
Hausen,Aargau,3633
Tavannes,Bern,3626
Laufenburg,Aargau,3626
Reichenbach im Kandertal,Bern,3616
Hittnau,Zurich,3613
Stein,Sankt Gallen,3604
Plaffeien,Fribourg,3594
Eschenbach,Luzern,3589
Morschwil,Sankt Gallen,3585
Buren an der Aare,Bern,3580
Ins,Bern,3564
Erlinsbach,Aargau,3556
Merenschwand,Aargau,3549
Chalais,Valais,3524
Attalens,Fribourg,3521
Poschiavo,Graubunden,3516
Waldkirch,Sankt Gallen,3500
Ennetbaden,Aargau,3498
Klingnau,Aargau,3480
Luterbach,Solothurn,3479
Gams,Sankt Gallen,3471
Steinmaur,Zurich,3460
Ermatingen,Thurgau,3455
Selzach,Solothurn,3453
Munsterlingen,Thurgau,3448
Grimisuat,Valais,3445
Zizers,Graubunden,3434
Yvonand,Vaud,3427
Rheineck,Sankt Gallen,3419
Steinen,Schwyz,3417
Berg,Thurgau,3410
Bosingen,Fribourg,3408
Vacallo,Ticino,3398
Thunstetten,Bern,3395
Corsier-sur-Vevey,Vaud,3390
Stein am Rhein,Schaffhausen,3376
Adelboden,Bern,3371
Rickenbach,Luzern,3364
Gruningen,Zurich,3361
Grandson,Vaud,3357
Savigny,Vaud,3357
Staufen,Aargau,3336
Bonaduz,Graubunden,3330
Entlebuch,Luzern,3315
Courroux,Jura,3314
Romanel-sur-Lausanne,Vaud,3309
Tuggen,Schwyz,3309
Trimmis,Graubunden,3304
Weisslingen,Zurich,3301
Bellevue,Geneve,3299
Buttisholz,Luzern,3294
Penthalaz,Vaud,3283
Belfaux,Fribourg,3281
Madiswil,Bern,3277
Beinwil am See,Aargau,3276
Balerna,Ticino,3269
Ruegsbach,Bern,3258
Batterkinden,Bern,3251
Aubonne,Vaud,3241
Grosswangen,Luzern,3241
Kappel,Solothurn,3237
Thusis,Graubunden,3217
Ardon,Valais,3212
Saint-Blaise,Neuchatel,3211
Leytron,Valais,3204
Subingen,Solothurn,3201
Stein,Aargau,3198
Ursy,Fribourg,3198
Arosa,Graubunden,3185
Orsieres,Valais,3183
Kirchlindach,Bern,3158
Hofstetten,Sankt Gallen,3157
Le Mouret,Fribourg,3153
Coppet,Vaud,3152
Niederhelfenschwil,Sankt Gallen,3149
Hettlingen,Zurich,3147
Neerach,Zurich,3140
Laupen,Fribourg,3138
Oberdorf,Nidwalden,3121
Seedorf,Bern,3114
Stettlen,Bern,3113
Lupfig,Aargau,3113
Brienz,Bern,3090
Torricella,Ticino,3087
Unterkulm,Aargau,3086
Gais,Appenzell Ausserrhoden,3086
Roggwil,Thurgau,3068
Echichens,Vaud,3059
Benken,Sankt Gallen,3025
Niederweningen,Zurich,3024
Zweisimmen,Bern,3020
Grossaffoltern,Bern,3017
Turgi,Aargau,3014
Schafisheim,Aargau,2997
Courrendlin,Jura,2995
Birmenstorf,Aargau,2992
Mullheim,Thurgau,2991
Muhleberg,Bern,2985
Murgenthal,Aargau,2984
Meisterschwanden,Aargau,2960
Chardonne,Vaud,2944
Geuensee,Luzern,2940
Coldrerio,Ticino,2939
Schenkon,Luzern,2939
Quarten,Sankt Gallen,2937
Wattenwil,Bern,2935
Oberburg,Bern,2934
Waltenschwil,Aargau,2933
Cadenazzo,Ticino,2932
Samedan,Graubunden,2924
Matzingen,Thurgau,2917
Faido,Ticino,2903
Sarmenstorf,Aargau,2902
Etoy,Vaud,2898
Marstetten,Thurgau,2898
Othmarsingen,Aargau,2897
Mosnang,Sankt Gallen,2881
Menznau,Luzern,2879
Puidoux,Vaud,2878
Commugny,Vaud,2874
Tauffelen,Bern,2872
Daniken,Solothurn,2851
Rorbas,Zurich,2837
Boswil,Aargau,2837
Flims,Graubunden,2834
Otelfingen,Zurich,2831
Niederwil,Aargau,2830
Bergdietikon,Aargau,2828
Ennenda,Glarus,2808
Orpund,Bern,2799
Fischingen,Thurgau,2791
Ballwil,Luzern,2786
Gretzenbach,Solothurn,2783
Genthod,Geneve,2782
Riaz,Fribourg,2780
Rickenbach bei Wil,Thurgau,2774
Rain,Luzern,2770
Horn,Thurgau,2752
Ettiswil,Luzern,2747
Lengnau,Aargau,2740
Cugy,Vaud,2737
Lauterbrunnen,Bern,2732
Vionnaz,Valais,2727
Hori,Zurich,2721
Oberkulm,Aargau,2718
Corminboeuf,Fribourg,2695
Muralto,Ticino,2683
Montanaire,Vaud,2683
Schiers,Graubunden,2679
Pfaffnau,Luzern,2678
Evilard,Bern,2674
Kaisten,Aargau,2670
Signau,Bern,2659
Rickenbach,Zurich,2655
Wilderswil,Bern,2655
